(a621,r1081)
(a21,r2057)
(a62,r793)
(a1076,r1866)
(a400,r1686)
(a1093,r1899)
(a418,r971)
(a305,r35)
(a0,r21)
(a402,r264)
(a271,r432)
(a131,r255)
(a67,r1931)
(a237,r996)
(a60,r407)
(a1042,r1700)
(a17,r775)
(a314,r540)
(a1088,r1897)
(a1064,r1811)
(a696,r1128)
(a178,r672)
(a237,r112)
(a1010,r112)
(a226,r384)
(a310,r46)
(a484,r1013)
(a674,r937)
(a425,r2009)
(a311,r507)
(a1001,r151)
(a419,r2454)
(a9,r879)
(a353,r1091)
(a947,r1474)
(a108,r188)
(a109,r172)
(a24,r2158)
(a183,r330)
(a6,r1998)
(a17,r1)
(a9,r760)
(a19,r169)
(a74,r9)
(a18,r168)
(a1074,r1844)
(a602,r918)
(a439,r1107)
(a26,r2062)
(a180,r309)
(a399,r741)
(a60,r270)
(a659,r1168)
(a1,r22)
(a307,r20)
(a310,r1073)
(a6,r802)
(a9,r2414)
(a26,r192)
(a675,r1284)
(a125,r228)
(a353,r691)
(a60,r129)
(a331,r770)
(a57,r432)
(a32,r2436)
(a1198,r2332)
(a226,r2342)
(a1005,r1556)
(a19,r1526)
(a550,r904)
(a1,r24)
(a1230,r2426)
(a216,r362)
(a859,r1285)
(a1037,r1697)
(a217,r2352)
(a143,r1672)
(a9,r1)
(a400,r116)
(a18,r760)
(a18,r23)
(a30,r867)
(a955,r1447)
(a256,r429)
(a473,r984)
(a1066,r1817)
(a1103,r1884)
(a422,r433)
(a72,r2005)
(a309,r844)
(a316,r1761)
(a122,r234)
(a1069,r1834)
(a697,r1129)
(a306,r36)
(a444,r855)
(a1108,r1908)
(a991,r1495)
(a143,r266)
(a458,r888)
(a395,r736)
(a62,r650)
(a313,r485)
(a74,r22)
(a259,r431)
(a67,r1522)
(a1059,r987)
(a564,r1049)
(a1218,r46)
(a25,r114)
(a54,r103)
(a1013,r1566)
(a443,r854)
(a550,r1124)
(a309,r506)
(a387,r720)
(a1151,r2050)
(a220,r377)
(a20,r443)
(a45,r85)
(a104,r164)
(a346,r1058)
(a18,r9)
(a1009,r151)
(a60,r364)
(a602,r1194)
(a255,r428)
(a862,r1296)
(a377,r735)
(a57,r3)
(a225,r380)
(a1185,r2140)
(a306,r407)
(a44,r83)
(a12,r764)
(a1173,r2130)
(a1041,r1699)
(a445,r1171)
(a152,r272)
(a72,r1968)
(a506,r1033)
